type;exec;direction;nb_clusters;size;time
channel;5;master-slave;1;65536;610
channel;5;master-slave;1;131072;1205
channel;5;master-slave;1;262144;2390
channel;5;master-slave;1;524288;4772
channel;5;master-slave;1;1048576;9532
channel;5;slave-master;1;1;52
channel;5;slave-master;1;2;39
channel;5;slave-master;1;4;38
channel;5;slave-master;1;8;38
channel;5;slave-master;1;16;38
channel;5;slave-master;1;32;38
channel;5;slave-master;1;64;50
channel;5;slave-master;1;128;38
channel;5;slave-master;1;256;49
channel;5;slave-master;1;512;48
channel;5;slave-master;1;1024;49
channel;5;slave-master;1;2048;50
channel;5;slave-master;1;4096;68
channel;5;slave-master;1;8192;74
channel;5;slave-master;1;16384;94
channel;5;slave-master;1;32768;152
channel;5;slave-master;1;65536;251
channel;5;slave-master;1;131072;451
channel;5;slave-master;1;262144;850
channel;5;slave-master;1;524288;1649
channel;5;slave-master;1;1048576;3251
UsandoChannel!
channel;6;master-slave;1;1;15
channel;6;master-slave;1;2;15
channel;6;master-slave;1;4;14
channel;6;master-slave;1;8;13
channel;6;master-slave;1;16;14
channel;6;master-slave;1;32;15
channel;6;master-slave;1;64;13
channel;6;master-slave;1;128;15
channel;6;master-slave;1;256;15
channel;6;master-slave;1;512;18
channel;6;master-slave;1;1024;22
channel;6;master-slave;1;2048;32
channel;6;master-slave;1;4096;50
channel;6;master-slave;1;8192;88
channel;6;master-slave;1;16384;161
channel;6;master-slave;1;32768;313
channel;6;master-slave;1;65536;605
channel;6;master-slave;1;131072;1201
channel;6;master-slave;1;262144;2398
channel;6;master-slave;1;524288;4771
channel;6;master-slave;1;1048576;9531
channel;6;slave-master;1;1;52
channel;6;slave-master;1;2;39
channel;6;slave-master;1;4;38
channel;6;slave-master;1;8;37
channel;6;slave-master;1;16;38
channel;6;slave-master;1;32;43
channel;6;slave-master;1;64;37
channel;6;slave-master;1;128;50
channel;6;slave-master;1;256;38
channel;6;slave-master;1;512;49
channel;6;slave-master;1;1024;49
channel;6;slave-master;1;2048;50
channel;6;slave-master;1;4096;68
channel;6;slave-master;1;8192;75
channel;6;slave-master;1;16384;94
channel;6;slave-master;1;32768;152
channel;6;slave-master;1;65536;252
channel;6;slave-master;1;131072;451
channel;6;slave-master;1;262144;851
channel;6;slave-master;1;524288;1649
channel;6;slave-master;1;1048576;3251
UsandoChannel!
channel;7;master-slave;1;1;15
channel;7;master-slave;1;2;15
channel;7;master-slave;1;4;14
channel;7;master-slave;1;8;13
channel;7;master-slave;1;16;14
channel;7;master-slave;1;32;14
channel;7;master-slave;1;64;14
channel;7;master-slave;1;128;14
channel;7;master-slave;1;256;15
channel;7;master-slave;1;512;23
channel;7;master-slave;1;1024;22
channel;7;master-slave;1;2048;32
channel;7;master-slave;1;4096;51
channel;7;master-slave;1;8192;87
channel;7;master-slave;1;16384;161
channel;7;master-slave;1;32768;313
channel;7;master-slave;1;65536;609
channel;7;master-slave;1;131072;1206
channel;7;master-slave;1;262144;2393
channel;7;master-slave;1;524288;4766
channel;7;master-slave;1;1048576;9527
channel;7;slave-master;1;1;53
channel;7;slave-master;1;2;38
channel;7;slave-master;1;4;38
channel;7;slave-master;1;8;37
channel;7;slave-master;1;16;38
channel;7;slave-master;1;32;38
channel;7;slave-master;1;64;50
channel;7;slave-master;1;128;49
channel;7;slave-master;1;256;49
channel;7;slave-master;1;512;50
channel;7;slave-master;1;1024;49
channel;7;slave-master;1;2048;50
channel;7;slave-master;1;4096;68
channel;7;slave-master;1;8192;73
channel;7;slave-master;1;16384;93
channel;7;slave-master;1;32768;151
channel;7;slave-master;1;65536;251
channel;7;slave-master;1;131072;451
channel;7;slave-master;1;262144;850
channel;7;slave-master;1;524288;1650
channel;7;slave-master;1;1048576;3256
UsandoChannel!
channel;8;master-slave;1;1;15
channel;8;master-slave;1;2;14
channel;8;master-slave;1;4;14
channel;8;master-slave;1;8;14
channel;8;master-slave;1;16;14
channel;8;master-slave;1;32;14
channel;8;master-slave;1;64;13
channel;8;master-slave;1;128;15
channel;8;master-slave;1;256;16
channel;8;master-slave;1;512;18
channel;8;master-slave;1;1024;22
channel;8;master-slave;1;2048;32
channel;8;master-slave;1;4096;51
channel;8;master-slave;1;8192;87
channel;8;master-slave;1;16384;161
channel;8;master-slave;1;32768;309
channel;8;master-slave;1;65536;610
channel;8;master-slave;1;131072;1202
channel;8;master-slave;1;262144;2390
channel;8;master-slave;1;524288;4774
channel;8;master-slave;1;1048576;9528
channel;8;slave-master;1;1;45
channel;8;slave-master;1;2;38
channel;8;slave-master;1;4;38
channel;8;slave-master;1;8;38
channel;8;slave-master;1;16;37
channel;8;slave-master;1;32;38
channel;8;slave-master;1;64;50
channel;8;slave-master;1;128;39
channel;8;slave-master;1;256;50
channel;8;slave-master;1;512;49
channel;8;slave-master;1;1024;50
channel;8;slave-master;1;2048;54
channel;8;slave-master;1;4096;67
channel;8;slave-master;1;8192;74
channel;8;slave-master;1;16384;94
channel;8;slave-master;1;32768;152
channel;8;slave-master;1;65536;252
channel;8;slave-master;1;131072;451
channel;8;slave-master;1;262144;850
channel;8;slave-master;1;524288;1650
channel;8;slave-master;1;1048576;3251
UsandoChannel!
channel;9;master-slave;1;1;15
channel;9;master-slave;1;2;15
channel;9;master-slave;1;4;14
channel;9;master-slave;1;8;13
channel;9;master-slave;1;16;14
channel;9;master-slave;1;32;14
channel;9;master-slave;1;64;13
channel;9;master-slave;1;128;14
channel;9;master-slave;1;256;16
channel;9;master-slave;1;512;18
channel;9;master-slave;1;1024;22
channel;9;master-slave;1;2048;32
channel;9;master-slave;1;4096;50
channel;9;master-slave;1;8192;88
channel;9;master-slave;1;16384;161
channel;9;master-slave;1;32768;309
channel;9;master-slave;1;65536;610
channel;9;master-slave;1;131072;1201
channel;9;master-slave;1;262144;2390
channel;9;master-slave;1;524288;4775
channel;9;master-slave;1;1048576;9533
channel;9;slave-master;1;1;51
channel;9;slave-master;1;2;39
channel;9;slave-master;1;4;38
channel;9;slave-master;1;8;37
channel;9;slave-master;1;16;38
channel;9;slave-master;1;32;37
channel;9;slave-master;1;64;37
channel;9;slave-master;1;128;39
channel;9;slave-master;1;256;50
channel;9;slave-master;1;512;49
channel;9;slave-master;1;1024;50
channel;9;slave-master;1;2048;49
channel;9;slave-master;1;4096;69
channel;9;slave-master;1;8192;73
channel;9;slave-master;1;16384;94
channel;9;slave-master;1;32768;152
channel;9;slave-master;1;65536;251
channel;9;slave-master;1;131072;451
channel;9;slave-master;1;262144;851
channel;9;slave-master;1;524288;1648
channel;9;slave-master;1;1048576;3251
UsandoChannel!
channel;10;master-slave;1;1;15
channel;10;master-slave;1;2;14
channel;10;master-slave;1;4;14
channel;10;master-slave;1;8;13
channel;10;master-slave;1;16;13
channel;10;master-slave;1;32;14
channel;10;master-slave;1;64;14
channel;10;master-slave;1;128;14
channel;10;master-slave;1;256;16
channel;10;master-slave;1;512;18
channel;10;master-slave;1;1024;23
channel;10;master-slave;1;2048;31
channel;10;master-slave;1;4096;50
channel;10;master-slave;1;8192;88
channel;10;master-slave;1;16384;160
channel;10;master-slave;1;32768;309
channel;10;master-slave;1;65536;613
channel;10;master-slave;1;131072;1201
channel;10;master-slave;1;262144;2394
channel;10;master-slave;1;524288;4775
channel;10;master-slave;1;1048576;9528
channel;10;slave-master;1;1;52
channel;10;slave-master;1;2;38
channel;10;slave-master;1;4;38
channel;10;slave-master;1;8;38
channel;10;slave-master;1;16;38
channel;10;slave-master;1;32;43
channel;10;slave-master;1;64;38
channel;10;slave-master;1;128;49
channel;10;slave-master;1;256;50
channel;10;slave-master;1;512;49
channel;10;slave-master;1;1024;48
channel;10;slave-master;1;2048;50
channel;10;slave-master;1;4096;69
channel;10;slave-master;1;8192;73
channel;10;slave-master;1;16384;94
channel;10;slave-master;1;32768;152
channel;10;slave-master;1;65536;251
channel;10;slave-master;1;131072;451
channel;10;slave-master;1;262144;851
channel;10;slave-master;1;524288;1649
channel;10;slave-master;1;1048576;3251
UsandoChannel!
channel;11;master-slave;1;1;16
channel;11;master-slave;1;2;15
channel;11;master-slave;1;4;15
channel;11;master-slave;1;8;13
channel;11;master-slave;1;16;15
channel;11;master-slave;1;32;14
channel;11;master-slave;1;64;13
channel;11;master-slave;1;128;14
channel;11;master-slave;1;256;16
channel;11;master-slave;1;512;23
channel;11;master-slave;1;1024;22
channel;11;master-slave;1;2048;31
channel;11;master-slave;1;4096;50
channel;11;master-slave;1;8192;87
channel;11;master-slave;1;16384;161
channel;11;master-slave;1;32768;309
channel;11;master-slave;1;65536;610
channel;11;master-slave;1;131072;1202
channel;11;master-slave;1;262144;2390
channel;11;master-slave;1;524288;4774
channel;11;master-slave;1;1048576;9527
channel;11;slave-master;1;1;56
channel;11;slave-master;1;2;39
channel;11;slave-master;1;4;38
channel;11;slave-master;1;8;38
channel;11;slave-master;1;16;37
channel;11;slave-master;1;32;38
channel;11;slave-master;1;64;37
channel;11;slave-master;1;128;37
channel;11;slave-master;1;256;50
channel;11;slave-master;1;512;49
channel;11;slave-master;1;1024;49
channel;11;slave-master;1;2048;50
channel;11;slave-master;1;4096;68
channel;11;slave-master;1;8192;73
channel;11;slave-master;1;16384;94
channel;11;slave-master;1;32768;151
channel;11;slave-master;1;65536;252
channel;11;slave-master;1;131072;450
channel;11;slave-master;1;262144;850
channel;11;slave-master;1;524288;1649
channel;11;slave-master;1;1048576;3252
UsandoChannel!
channel;12;master-slave;1;1;16
channel;12;master-slave;1;2;14
channel;12;master-slave;1;4;15
channel;12;master-slave;1;8;13
channel;12;master-slave;1;16;14
channel;12;master-slave;1;32;15
channel;12;master-slave;1;64;13
channel;12;master-slave;1;128;15
channel;12;master-slave;1;256;16
channel;12;master-slave;1;512;18
channel;12;master-slave;1;1024;23
channel;12;master-slave;1;2048;33
channel;12;master-slave;1;4096;51
channel;12;master-slave;1;8192;87
channel;12;master-slave;1;16384;166
channel;12;master-slave;1;32768;313
channel;12;master-slave;1;65536;610
channel;12;master-slave;1;131072;1202
channel;12;master-slave;1;262144;2389
channel;12;master-slave;1;524288;4774
channel;12;master-slave;1;1048576;9532
channel;12;slave-master;1;1;52
channel;12;slave-master;1;2;39
channel;12;slave-master;1;4;38
channel;12;slave-master;1;8;38
channel;12;slave-master;1;16;38
channel;12;slave-master;1;32;38
channel;12;slave-master;1;64;50
channel;12;slave-master;1;128;39
channel;12;slave-master;1;256;49
channel;12;slave-master;1;512;50
channel;12;slave-master;1;1024;49
channel;12;slave-master;1;2048;50
channel;12;slave-master;1;4096;68
channel;12;slave-master;1;8192;75
channel;12;slave-master;1;16384;95
channel;12;slave-master;1;32768;151
channel;12;slave-master;1;65536;251
channel;12;slave-master;1;131072;452
channel;12;slave-master;1;262144;850
channel;12;slave-master;1;524288;1649
