Slavebarrierwait
Slavebarrierwait
type;exec;direction;nb_clusters;size;time
Hello1
Masterbarrierwait
Masterbarrierend
Masterbarrierend
Slavebarrierwait
Slavebarrierend
Slavebarrierend
Slavebarrierend
AllSlavesArrived:0
AllSlavesArrived:2
AllSlavesArrived:1
Hello2
UsandoChannel!
Slavebarrierwait
Slavebarrierend
AllSlavesArrived:3
channel;5;master-slave;4;512;90
channel;5;master-slave;4;1024;109
channel;5;master-slave;4;2048;146
channel;5;master-slave;4;4096;221
channel;5;master-slave;4;8192;376
channel;5;master-slave;4;16384;663
channel;5;master-slave;4;32768;1260
channel;5;master-slave;4;65536;2449
channel;5;master-slave;4;131072;4834
channel;5;master-slave;4;262144;9586
channel;5;master-slave;4;524288;19105
channel;5;master-slave;4;1048576;38117
channel;5;slave-master;4;1;200
channel;5;slave-master;4;2;176
channel;5;slave-master;4;4;176
channel;5;slave-master;4;8;176
channel;5;slave-master;4;16;163
channel;5;slave-master;4;32;165
channel;5;slave-master;4;64;197
channel;5;slave-master;4;128;198
channel;5;slave-master;4;256;198
channel;5;slave-master;4;512;198
channel;5;slave-master;4;1024;198
channel;5;slave-master;4;2048;199
channel;5;slave-master;4;4096;271
channel;5;slave-master;4;8192;295
channel;5;slave-master;4;16384;377
channel;5;slave-master;4;32768;608
channel;5;slave-master;4;65536;1016
channel;5;slave-master;4;131072;1806
channel;5;slave-master;4;262144;3403
channel;5;slave-master;4;524288;6598
channel;5;slave-master;4;1048576;13010
UsandoChannel!
channel;6;master-slave;4;1;78
channel;6;master-slave;4;2;76
channel;6;master-slave;4;4;76
channel;6;master-slave;4;8;73
channel;6;master-slave;4;16;74
channel;6;master-slave;4;32;77
channel;6;master-slave;4;64;74
channel;6;master-slave;4;128;77
channel;6;master-slave;4;256;81
channel;6;master-slave;4;512;91
channel;6;master-slave;4;1024;108
channel;6;master-slave;4;2048;146
channel;6;master-slave;4;4096;220
channel;6;master-slave;4;8192;368
channel;6;master-slave;4;16384;668
channel;6;master-slave;4;32768;1260
channel;6;master-slave;4;65536;2449
channel;6;master-slave;4;131072;4824
channel;6;master-slave;4;262144;9591
channel;6;master-slave;4;524288;19105
channel;6;master-slave;4;1048576;38127
channel;6;slave-master;4;1;202
channel;6;slave-master;4;2;176
channel;6;slave-master;4;4;165
channel;6;slave-master;4;8;176
channel;6;slave-master;4;16;164
channel;6;slave-master;4;32;165
channel;6;slave-master;4;64;186
channel;6;slave-master;4;128;201
channel;6;slave-master;4;256;199
channel;6;slave-master;4;512;198
