Slavebarrierwait
channel;4;slave-master;16;128;800
channel;4;slave-master;16;256;792
channel;4;slave-master;16;512;795
channel;4;slave-master;16;1024;797
channel;4;slave-master;16;2048;802
channel;4;slave-master;16;4096;1089
channel;4;slave-master;16;8192;1184
channel;4;slave-master;16;16384;1506
channel;4;slave-master;16;32768;2437
channel;4;slave-master;16;65536;4034
channel;4;slave-master;16;131072;7232
channel;4;slave-master;16;262144;13623
channel;4;slave-master;16;524288;26407
channel;4;slave-master;16;1048576;52066
UsandoChannel!
channel;5;master-slave;16;1;374
channel;5;master-slave;16;2;372
channel;5;master-slave;16;4;372
channel;5;master-slave;16;8;364
channel;5;master-slave;16;16;370
channel;5;master-slave;16;32;379
channel;5;master-slave;16;64;371
channel;5;master-slave;16;128;385
channel;5;master-slave;16;256;400
channel;5;master-slave;16;512;432
channel;5;master-slave;16;1024;507
channel;5;master-slave;16;2048;660
channel;5;master-slave;16;4096;956
channel;5;master-slave;16;8192;1551
channel;5;master-slave;16;16384;2739
channel;5;master-slave;16;32768;5122
channel;5;master-slave;16;65536;9873
channel;5;master-slave;16;131072;19398
channel;5;master-slave;16;262144;38424
channel;5;master-slave;16;524288;76488
channel;5;master-slave;16;1048576;152491
channel;5;slave-master;16;1;799
channel;5;slave-master;16;2;746
channel;5;slave-master;16;4;774
channel;5;slave-master;16;8;716
channel;5;slave-master;16;16;673
channel;5;slave-master;16;32;749
channel;5;slave-master;16;64;774
channel;5;slave-master;16;128;784
channel;5;slave-master;16;256;798
channel;5;slave-master;16;512;796
channel;5;slave-master;16;1024;796
channel;5;slave-master;16;2048;803
channel;5;slave-master;16;4096;1070
channel;5;slave-master;16;8192;1184
channel;5;slave-master;16;16384;1512
channel;5;slave-master;16;32768;2440
channel;5;slave-master;16;65536;4033
channel;5;slave-master;16;131072;7231
channel;5;slave-master;16;262144;13630
channel;5;slave-master;16;524288;26400
channel;5;slave-master;16;1048576;52068
UsandoChannel!
channel;6;master-slave;16;1;373
channel;6;master-slave;16;2;374
channel;6;master-slave;16;4;377
channel;6;master-slave;16;8;363
channel;6;master-slave;16;16;366
channel;6;master-slave;16;32;374
channel;6;master-slave;16;64;364
channel;6;master-slave;16;128;377
channel;6;master-slave;16;256;395
channel;6;master-slave;16;512;439
channel;6;master-slave;16;1024;512
channel;6;master-slave;16;2048;656
channel;6;master-slave;16;4096;956
channel;6;master-slave;16;8192;1548
channel;6;master-slave;16;16384;2739
channel;6;master-slave;16;32768;5116
channel;6;master-slave;16;65536;9877
channel;6;master-slave;16;131072;19393
channel;6;master-slave;16;262144;38429
channel;6;master-slave;16;524288;76490
channel;6;master-slave;16;1048576;152480
channel;6;slave-master;16;1;800
channel;6;slave-master;16;2;751
channel;6;slave-master;16;4;752
channel;6;slave-master;16;8;696
channel;6;slave-master;16;16;688
channel;6;slave-master;16;32;729
channel;6;slave-master;16;64;795
channel;6;slave-master;16;128;794
channel;6;slave-master;16;256;793
channel;6;slave-master;16;512;795
channel;6;slave-master;16;1024;801
channel;6;slave-master;16;2048;801
channel;6;slave-master;16;4096;1085
channel;6;slave-master;16;8192;1185
channel;6;slave-master;16;16384;1511
channel;6;slave-master;16;32768;2441
channel;6;slave-master;16;65536;4034
channel;6;slave-master;16;131072;7238
channel;6;slave-master;16;262144;13620
channel;6;slave-master;16;524288;26405
channel;6;slave-master;16;1048576;52067
UsandoChannel!
channel;7;master-slave;16;1;375
channel;7;master-slave;16;2;374
channel;7;master-slave;16;4;374
channel;7;master-slave;16;8;364
channel;7;master-slave;16;16;371
channel;7;master-slave;16;32;380
channel;7;master-slave;16;64;373
channel;7;master-slave;16;128;381
channel;7;master-slave;16;256;400
channel;7;master-slave;16;512;431
channel;7;master-slave;16;1024;507
channel;7;master-slave;16;2048;661
channel;7;master-slave;16;4096;956
channel;7;master-slave;16;8192;1556
channel;7;master-slave;16;16384;2744
channel;7;master-slave;16;32768;5118
channel;7;master-slave;16;65536;9878
channel;7;master-slave;16;131072;19397
channel;7;master-slave;16;262144;38424
channel;7;master-slave;16;524288;76489
channel;7;master-slave;16;1048576;152486
channel;7;slave-master;16;1;795
channel;7;slave-master;16;2;746
channel;7;slave-master;16;4;764
channel;7;slave-master;16;8;684
channel;7;slave-master;16;16;717
channel;7;slave-master;16;32;689
channel;7;slave-master;16;64;785
channel;7;slave-master;16;128;785
channel;7;slave-master;16;256;796
channel;7;slave-master;16;512;797
channel;7;slave-master;16;1024;791
channel;7;slave-master;16;2048;799
channel;7;slave-master;16;4096;1068
channel;7;slave-master;16;8192;1188
channel;7;slave-master;16;16384;1512
channel;7;slave-master;16;32768;2439
channel;7;slave-master;16;65536;4046
channel;7;slave-master;16;131072;7235
channel;7;slave-master;16;262144;13617
channel;7;slave-master;16;524288;26398
channel;7;slave-master;16;1048576;52065
UsandoChannel!
channel;8;master-slave;16;1;372
channel;8;master-slave;16;2;373
channel;8;master-slave;16;4;379
channel;8;master-slave;16;8;368
channel;8;master-slave;16;16;365
channel;8;master-slave;16;32;375
channel;8;master-slave;16;64;365
channel;8;master-slave;16;128;376
channel;8;master-slave;16;256;394
channel;8;master-slave;16;512;437
channel;8;master-slave;16;1024;512
channel;8;master-slave;16;2048;656
channel;8;master-slave;16;4096;955
channel;8;master-slave;16;8192;1547
channel;8;master-slave;16;16384;2735
channel;8;master-slave;16;32768;5120
channel;8;master-slave;16;65536;9882
channel;8;master-slave;16;131072;19388
channel;8;master-slave;16;262144;38419
channel;8;master-slave;16;524288;76494
channel;8;master-slave;16;1048576;152480
channel;8;slave-master;16;1;801
channel;8;slave-master;16;2;752
channel;8;slave-master;16;4;677
